ID,sub_specie,claw_length_cm,endangered,size_cm,specie,tail_length_cm,weight_kg
0,Pygmy three-toed sloth,6.825,critically_endangered,52.004,three_toed,4.448,3.57
1,Pygmy three-toed sloth,8.26,critically_endangered,50.082,three_toed,6.286,2.844
2,Pygmy three-toed sloth,8.662,critically_endangered,51.498,three_toed,4.551,1.259
3,Pygmy three-toed sloth,8.467,critically_endangered,50.122,three_toed,6.983,2.392
4,Pygmy three-toed sloth,7.104,critically_endangered,51.364,three_toed,5.411,3.163
5,Pygmy three-toed sloth,7.268,critically_endangered,50.54,three_toed,3.672,3.305
6,Pygmy three-toed sloth,7.195,critically_endangered,49.662,three_toed,4.179,2.854
7,Pygmy three-toed sloth,7.455,critically_endangered,50.99,three_toed,3.418,3.861
8,Pygmy three-toed sloth,6.773,critically_endangered,48.389,three_toed,6.601,4.492
9,Pygmy three-toed sloth,8.16,critically_endangered,49.495,three_toed,4.058,0.964
10,Pygmy three-toed sloth,7.43,critically_endangered,49.652,three_toed,4.446,2.551
11,Pygmy three-toed sloth,7.31,critically_endangered,50.094,three_toed,6.853,5.494
12,Pygmy three-toed sloth,8.885,critically_endangered,49.511,three_toed,6.179,3.066
13,Pygmy three-toed sloth,7.041,critically_endangered,50.774,three_toed,6.346,2.897
14,Pygmy three-toed sloth,8.341,critically_endangered,49.116,three_toed,5.527,2.444
15,Pygmy three-toed sloth,8.372,critically_endangered,51.097,three_toed,4.803,2.837
16,Pygmy three-toed sloth,7.825,critically_endangered,51.339,three_toed,4.516,3.732
17,Pygmy three-toed sloth,6.261,critically_endangered,50.176,three_toed,5.499,1.759
18,Pygmy three-toed sloth,5.262,critically_endangered,49.417,three_toed,5.13,1.417
19,Pygmy three-toed sloth,8.271,critically_endangered,51.06,three_toed,6.174,2.575
20,Pygmy three-toed sloth,7.291,critically_endangered,50.201,three_toed,6.148,3.39
21,Pygmy three-toed sloth,7.734,critically_endangered,48.931,three_toed,5.629,4.526
22,Pygmy three-toed sloth,8.147,critically_endangered,50.052,three_toed,5.087,1.976
23,Pygmy three-toed sloth,8.447,critically_endangered,51.47,three_toed,6.214,1.916
24,Pygmy three-toed sloth,9.378,critically_endangered,50.913,three_toed,6.37,4.569
25,Pygmy three-toed sloth,7.144,critically_endangered,49.755,three_toed,5.164,2.752
26,Pygmy three-toed sloth,8.998,critically_endangered,50.374,three_toed,5.086,2.919
27,Pygmy three-toed sloth,8.647,critically_endangered,50.638,three_toed,3.75,2.976
28,Pygmy three-toed sloth,7.114,critically_endangered,50.213,three_toed,5.428,2.329
29,Pygmy three-toed sloth,6.663,critically_endangered,51.189,three_toed,7.206,2.128
30,Pygmy three-toed sloth,7.618,critically_endangered,48.803,three_toed,5.526,2.495
31,Pygmy three-toed sloth,7.845,critically_endangered,47.737,three_toed,4.12,1.96
32,Pygmy three-toed sloth,7.967,critically_endangered,50.587,three_toed,7.134,1.383
33,Pygmy three-toed sloth,6.981,critically_endangered,51.205,three_toed,6.137,2.349
34,Pygmy three-toed sloth,6.26,critically_endangered,49.816,three_toed,6.376,2.717
35,Pygmy three-toed sloth,7.569,critically_endangered,51.233,three_toed,6.04,2.858
36,Pygmy three-toed sloth,6.033,critically_endangered,49.401,three_toed,6.049,2.842
37,Pygmy three-toed sloth,8.829,critically_endangered,50.425,three_toed,4.835,1.55
38,Pygmy three-toed sloth,8.62,critically_endangered,50.771,three_toed,4.727,4.363
39,Pygmy three-toed sloth,7.102,critically_endangered,52.019,three_toed,5.65,3.116
40,Pygmy three-toed sloth,7.898,critically_endangered,49.059,three_toed,4.292,3.13
41,Pygmy three-toed sloth,7.587,critically_endangered,50.877,three_toed,6.435,3.097
42,Pygmy three-toed sloth,5.512,critically_endangered,50.352,three_toed,5.65,3.525
43,Pygmy three-toed sloth,7.865,critically_endangered,51.299,three_toed,5.232,3.85
44,Pygmy three-toed sloth,5.868,critically_endangered,49,three_toed,6.386,1.407
45,Pygmy three-toed sloth,7.059,critically_endangered,50.259,three_toed,5.352,1.634
46,Pygmy three-toed sloth,7.905,critically_endangered,50.576,three_toed,4.807,2.636
47,Pygmy three-toed sloth,8.534,critically_endangered,50.106,three_toed,5.746,5.745
48,Pygmy three-toed sloth,8.112,critically_endangered,49.317,three_toed,5.457,2.664
49,Pygmy three-toed sloth,7.221,critically_endangered,51.054,three_toed,5.69,4.442
50,Pygmy three-toed sloth,7.019,critically_endangered,49.829,three_toed,6.777,1.965
51,Pygmy three-toed sloth,7.229,critically_endangered,49.655,three_toed,4.682,0.948
52,Pygmy three-toed sloth,7.355,critically_endangered,49.968,three_toed,6.478,1.333
53,Pygmy three-toed sloth,6.559,critically_endangered,49.835,three_toed,6.167,3.968
54,Pygmy three-toed sloth,7.286,critically_endangered,48.72,three_toed,5.38,5.7
55,Pygmy three-toed sloth,7.313,critically_endangered,48.703,three_toed,5.699,2.015
56,Pygmy three-toed sloth,6.12,critically_endangered,50.694,three_toed,6.026,3.438
57,Pygmy three-toed sloth,8.465,critically_endangered,51.984,three_toed,4.237,3.204
58,Pygmy three-toed sloth,5.297,critically_endangered,49.46,three_toed,5.747,3.091
59,Pygmy three-toed sloth,8.171,critically_endangered,51.354,three_toed,5.029,1.769
60,Pygmy three-toed sloth,8.437,critically_endangered,50.565,three_toed,5.246,2.678
61,Pygmy three-toed sloth,8.859,critically_endangered,51.305,three_toed,6.286,3.888
62,Pygmy three-toed sloth,8.065,critically_endangered,51.681,three_toed,3.646,3.233
63,Pygmy three-toed sloth,7.489,critically_endangered,51.2,three_toed,5.941,4.394
64,Pygmy three-toed sloth,6.901,critically_endangered,48.936,three_toed,5.849,1.863
